,SALBRYNB,ROSETON,HQ_P1_P2,HQHIGATE,SHOREHAM,NORTHPORT
0,21688.936472629328,10944.753690196709,24746.70164180723,3898.8553347751777,-3211.370031133174,-1574.1207148212907
1,19083.299290621773,2858.535339037051,32756.779266693586,4306.100283753261,-4466.396285982607,-3622.5481777584746
2,10133.108423375015,239.33291858899247,30021.067053232317,3502.593161985342,-3144.068126243966,-2699.2070151330686
3,14517.52757706948,19120.3794507724,41339.65801960863,4240.212994239452,420.1801283082136,36.12165341743719
4,7687.0283767968185,16665.15635934119,40201.323215295546,4133.456831151641,-4271.787981814384,-377.0497207396323
5,7889.028840321126,28666.843208647544,28694.752181461983,3933.078453172392,-2200.7789485907283,-1861.4313018472212
6,13186.778241908392,23329.608291332777,32715.800795244784,4886.393149472365,-2902.8416603933038,-1296.7870935125825
7,160.4748540455803,21636.116005186654,35018.340707046875,5366.050402425412,-4872.92695906827,-3145.3222525073325
8,6210.237060150364,-826.5810861133396,29051.26553952522,4817.607084938176,-5150.334980758447,-1214.2992258470706
9,3258.109071984609,-399.6378449072363,40814.21494252552,5588.395763122428,-4174.924614094616,-1030.9832337776088
10,3281.828372278993,12106.32715384698,38512.046202565885,5520.7422766045465,-5976.8813902763395,528.5664532167872
11,4785.80942774732,10497.902238257033,41959.567093454796,5670.746367064285,-8311.706900477055,-2025.3897024357466
12,10994.409164177685,7904.175631084849,47083.7197414111,5079.917569273892,-7840.739315338797,-2470.0329515065478
13,12259.497613492704,7168.185023539689,45694.126244536514,4715.696451795384,-6849.314302058346,-1640.9485757494194
14,12836.276940702635,8825.86732351226,44094.08967310266,2643.519338024052,-3866.3277321408978,-2270.278764851607
15,20328.747870508952,20905.958118331568,37605.72250060233,4425.972516075213,-1966.7289155687083,1940.6839824548938
16,12482.373406597932,35074.72920854689,40454.698648651975,5661.942247972015,-3191.7227966605446,1895.1764634057163
17,7982.413656380125,29989.924522667883,35844.29805769435,5959.687309299038,-2851.9454486820878,1535.6277809861322
18,14309.237775008522,27624.978864618868,25917.607157222104,4739.827628179752,-1904.592489263539,2066.8366932216936
19,19078.825395508975,34765.69339586052,27521.167249503542,4172.01844703167,-894.2425576231101,2713.1709929668486
20,14820.598207831954,23409.09039398997,33164.94274076715,5067.538334019708,-872.8834309553422,2357.541330927973
21,19957.774557109995,20564.76788113205,31888.895097992747,4974.782968218317,-346.41263638586497,1488.4318051920518
22,21235.409966498904,28968.8232817123,23309.17283732385,4330.014567618957,1318.6151307405926,1747.039699291695
23,16292.997913020683,38173.477199550456,19763.257409771417,4302.695121334031,-1251.4521933275114,2928.9878474301318
24,12643.280628166101,30440.605407771305,25795.59592033363,4068.5241439359024,-1676.3570072627003,1999.7437587703316
25,16597.129453049303,30411.94211396622,27548.944052589344,4036.6741403037577,-1228.6636575040116,626.5463012698693
26,16547.252453351117,16420.92549484876,20356.185390367544,4755.119425804611,-855.6171722146084,1304.3427511340537
27,13058.021894195308,20139.12210707071,31133.734145785213,4546.363645033277,-2015.878604935366,-734.9345965810363
28,19222.565676567694,13282.904700741443,33668.08596380449,3528.7827421830634,-1600.53166171024,-4076.8004161914337
29,19463.64161898852,18843.377351648494,29744.152048838096,3006.6846417459697,346.01412057632206,-1553.4755131419352
30,10671.443962902651,8740.756741792547,38788.93652324648,2937.6735515019695,-1065.9484820121097,-2595.2328445460616
31,13835.110567970662,10607.66211780463,41403.263237904815,2818.352283595822,2057.7633876877107,-725.6522829822683
32,11801.355886187841,7321.66395466822,35066.097496315,2672.279292702045,27.455128182456406,-1579.2387408842485
33,11729.221694987002,18024.436997187957,22492.357004788315,3126.4905038409156,-393.76118046240003,1799.5092571139157
34,219.42605125343016,11221.472843195015,22690.184527307745,3487.456617268133,-2659.634419123148,-415.8394262922194
35,9703.742571202989,16762.071535541043,31853.446758027992,5156.78460944169,-1256.3599031579213,-2921.0721355943997
36,6434.174998989536,18304.522596421986,35189.852793834296,4776.216525956973,707.6297915704345,-241.44316618909522
37,14297.65442554926,18421.370773751485,31981.234922068146,4983.196519431542,1561.0715609705835,701.9110014355347
38,21452.48948646792,17337.24804104376,38419.601995214434,5170.536473059579,2106.3419166972,1288.609778223451
39,21483.718933871798,11514.480299001962,35349.54150474482,5262.601684985091,-818.7971121786508,773.1137880655858
40,6947.726167921161,20379.372056247397,36472.69524399773,5657.354818064479,-6440.480034171929,-1576.9836169423975
41,10826.835027215802,2021.540755732156,29889.407149429997,5095.5544517745275,-8248.928991278266,-3535.9411457694414
